Parasite,132 min,"Drama, Thriller",Won 4 Oscars. 306 wins & 264 nominations total,"$53,369,749"
Green Book,130 min,"Biography, Comedy, Drama",Won 3 Oscars. 58 wins & 123 nominations total,"$85,080,171"
The Shape of Water,123 min,"Drama, Fantasy, Romance",Won 4 Oscars. 136 wins & 350 nominations total,"$63,859,435"
Moonlight,111 min,Drama,Won 3 Oscars. 231 wins & 300 nominations total,"$27,854,932"
Spotlight,129 min,"Biography, Crime, Drama",Won 2 Oscars. 124 wins & 144 nominations total,"$45,055,776"
Birdman or (The Unexpected Virtue of Ignorance),119 min,"Comedy, Drama",Won 4 Oscars. 193 wins & 293 nominations total,"$42,340,598"
12 Years a Slave,134 min,"Biography, Drama, History",Won 3 Oscars. 242 wins & 337 nominations total,"$56,671,993"
Argo,120 min,"Biography, Drama, Thriller",Won 3 Oscars. 95 wins & 156 nominations total,"$136,025,503"
The Artist,100 min,"Comedy, Drama, Romance",Won 5 Oscars. 162 wins & 204 nominations total,"$44,671,682"
The King's Speech,118 min,"Biography, Drama, History",Won 4 Oscars. 108 wins & 206 nominations total,"$138,797,449"
